Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Brand_Name,Age
13.74,56000.0,Petrol,Dealer,Manual,corolla,11.0
1.17,6000.0,Petrol,Individual,Manual,Royal,7.0
6.76,71000.0,Diesel,Dealer,Manual,etios,9.0
5.7,28200.0,Petrol,Dealer,Manual,grand,8.0
5.97,5600.0,Petrol,Dealer,Manual,brio,7.0
0.84,23000.0,Petrol,Individual,Manual,Yamaha,8.0
18.39,41000.0,Diesel,Dealer,Automatic,fortuner,9.0
1.5,18000.0,Petrol,Individual,Manual,Royal,7.0
13.6,68000.0,Diesel,Dealer,Manual,creta,8.0
18.39,40000.0,Diesel,Dealer,Automatic,fortuner,8.0
6.79,32000.0,Petrol,Dealer,Automatic,i20,10.0
9.4,36000.0,Petrol,Dealer,Manual,verna,8.0
0.84,5000.0,Petrol,Individual,Manual,Yamaha,6.0
0.8,20000.0,Petrol,Individual,Manual,Bajaj,7.0
1.82,1400.0,Petrol,Individual,Manual,UM,6.0
6.79,58000.0,Diesel,Dealer,Manual,i20,13.0
10.0,18828.0,Petrol,Dealer,Manual,city,8.0
1.26,5700.0,Petrol,Individual,Manual,Bajaj,7.0
5.9,9800.0,Petrol,Dealer,Manual,brio,10.0
1.5,6900.0,Petrol,Individual,Manual,Royal,12.0
5.8,40023.0,Petrol,Dealer,Manual,amaze,8.0
0.57,24000.0,Petrol,Individual,Automatic,Honda,7.0
13.7,75000.0,Petrol,Dealer,Manual,innova,15.0
4.43,15000.0,Petrol,Dealer,Manual,eon,7.0
5.35,53675.0,Petrol,Dealer,Manual,brio,11.0
1.78,6000.0,Petrol,Individual,Manual,KTM,7.0
4.43,11849.0,Petrol,Dealer,Manual,eon,7.0
3.46,45280.0,Petrol,Dealer,Manual,alto,9.0
14.79,12900.0,Petrol,Dealer,Automatic,elantra,8.0
7.98,62000.0,Petrol,Dealer,Manual,sx4,15.0
5.7,20114.0,Petrol,Dealer,Manual,grand,6.0
9.4,36000.0,Petrol,Dealer,Manual,verna,11.0
4.43,12500.0,Petrol,Dealer,Manual,eon,7.0
18.39,79276.25,Petrol,Dealer,Automatic,corolla,13.0
1.75,40000.0,Petrol,Individual,Manual,Royal,14.0
5.7,53000.0,Diesel,Dealer,Manual,grand,10.0
18.39,78000.0,Diesel,Dealer,Automatic,fortuner,9.0
0.64,13700.0,Petrol,Individual,Manual,Bajaj,9.0
6.79,35000.0,Petrol,Dealer,Manual,i20,11.0
7.71,26000.0,Petrol,Dealer,Manual,ertiga,8.0
0.47,21000.0,Petrol,Individual,Manual,Bajaj,10.0
7.5,44000.0,Petrol,Dealer,Automatic,amaze,8.0
0.73,12000.0,Petrol,Individual,Manual,Honda,10.0
1.47,11000.0,Petrol,Individual,Manual,Royal,6.0
15.04,70000.0,Petrol,Dealer,Automatic,corolla,14.0
1.47,17500.0,Petrol,Individual,Manual,Royal,8.0
1.47,26000.0,Petrol,Individual,Manual,Royal,8.0
0.75,60000.0,Petrol,Individual,Manual,Bajaj,15.0
7.5,61203.0,Petrol,Dealer,Manual,jazz,13.0
18.39,6000.0,Diesel,Dealer,Automatic,fortuner,6.0
0.54,14000.0,Petrol,Individual,Manual,Hero,7.0
9.9,54242.0,Petrol,Dealer,Manual,city,10.0
13.09,60076.0,Diesel,Dealer,Manual,city,8.0
3.45,16500.0,Petrol,Individual,Manual,Hyosung,9.0
8.7,21200.0,Petrol,Dealer,Manual,jazz,6.0
1.9,3000.0,Petrol,Individual,Manual,Royal,7.0
0.55,6700.0,Petrol,Individual,Manual,Hero,8.0
7.71,25870.0,Petrol,Dealer,Manual,ertiga,8.0
0.52,19000.0,Petrol,Individual,Automatic,TVS,9.0
0.57,35000.0,Petrol,Individual,Manual,Bajaj,12.0
6.1,31427.0,Petrol,Dealer,Manual,brio,8.0
11.8,9010.0,Petrol,Dealer,Manual,city,7.0
9.94,15000.0,Petrol,Dealer,Automatic,ciaz,8.0
18.39,40001.0,Petrol,Dealer,Manual,corolla,10.0
0.95,3500.0,Petrol,Individual,Manual,Bajaj,6.0
16.09,58242.0,Diesel,Dealer,Manual,innova,9.0
9.4,60000.0,Diesel,Dealer,Manual,verna,11.0
9.29,37000.0,Petrol,Dealer,Automatic,ciaz,6.0
13.46,38000.0,Diesel,Dealer,Manual,innova,8.0
5.09,35500.0,CNG,Dealer,Manual,wagon,8.0
0.81,11800.0,Petrol,Individual,Manual,TVS,6.0
2.28,79276.25,Petrol,Individual,Manual,800,15.0
6.95,45000.0,Diesel,Dealer,Manual,etios,9.0
1.9,14000.0,Petrol,Individual,Manual,Royal,8.0
0.57,18000.0,Petrol,Individual,Manual,Hero,10.0
3.76,10079.0,Petrol,Dealer,Manual,alto,7.0
4.6,30000.0,Petrol,Dealer,Manual,i10,10.0
0.51,4300.0,Petrol,Individual,Automatic,Honda,6.0
9.95,45000.0,Diesel,Dealer,Manual,ertiga,9.0
3.6,2135.0,Petrol,Dealer,Manual,alto,6.0
13.46,79276.25,Diesel,Dealer,Manual,innova,15.0
9.4,15001.0,Petrol,Dealer,Manual,verna,6.0
18.39,12000.0,Petrol,Dealer,Manual,corolla,7.0
10.79,43000.0,Diesel,Dealer,Manual,ertiga,7.0
0.82,18000.0,Petrol,Individual,Manual,Yamaha,8.0
5.7,24678.0,Petrol,Dealer,Manual,grand,8.0
6.79,52132.0,Diesel,Dealer,Manual,i20,11.0
3.95,44542.0,Petrol,Dealer,Manual,alto,13.0
0.94,24000.0,Petrol,Individual,Manual,Bajaj,7.0
0.57,55000.0,Petrol,Individual,Manual,Hero,15.0
18.39,45000.0,Petrol,Dealer,Manual,corolla,10.0
6.8,39485.0,Petrol,Dealer,Manual,etios,9.0
0.88,8000.0,Petrol,Individual,Manual,Yamaha,9.0
